entity,epoch,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
swat,5,0.6440199637300451,0.8113529099119706,0.7020300646813359,0.9190712560043278,0.7213179689602782,0.18649184585898856,0.7532193303295847,0.7237976985824418,0.5219352823167918,0.11446708183789751,0.010595479221957223,0.09595965921207869,0.014433984194699217,0.07005665346487215,0.03586900702785998,0.0022222093323141104,0.009234773413704194,0.08733330055485132
swat,10,0.7065092142444901,0.8155588125437102,0.7565356143571579,0.9217308260382966,0.740754227013746,0.21786689071163975,0.7556529512480957,0.7245859575034768,0.5615667823227776,0.014316676470661103,0.0040203140155987945,0.010654187523198229,0.00406435405610959,0.04091832578568539,0.027912684532762723,0.008952479441042665,0.008115490689480946,0.014571197466825312
swat,15,0.6833656514556121,0.8125172379602787,0.7435920174714801,0.9186346868226328,0.7478066529764128,0.24016226668073426,0.753195313740973,0.719960182153655,0.5515620489098676,0.05353032534906658,0.008786635166221529,0.03106791275490198,0.01356454171312431,0.05780837098704181,0.04128788436084406,0.008540524612061803,0.014725620426889775,0.03768525235642544
swat,20,0.6462862710435037,0.8113739772380818,0.7177598146129148,0.9199688641072964,0.7460509731001951,0.23889843428367113,0.755403551776243,0.7247428406411052,0.5330434723809798,0.10612188439146,0.010980759304141129,0.0697158071492106,0.010753926103983865,0.05308178422603729,0.046010032019460696,0.0067851368219733,0.009791072508248583,0.06441680765072737
swat,25,0.6329428276899502,0.8109138507282362,0.7098171333430678,0.9202363348257716,0.7396788430658248,0.2653344745230765,0.7579101829268649,0.7268330267864114,0.5251828126393002,0.12760470700196433,0.01299104008126387,0.07738708723872169,0.01638644302013216,0.07450043905279576,0.04791312410796667,0.004656970173429415,0.006901165891594694,0.07637706538503886
swat,30,0.6223706594095471,0.8101785598161952,0.706263683015147,0.922111555104266,0.7275733756750656,0.28449389826793847,0.7573260133230106,0.7264525242396143,0.5184354063984352,0.14321924439124845,0.014661267937766781,0.08744986675413449,0.009545202340469941,0.08703130847821944,0.06064034298824171,0.002508389324046005,0.006369016839191903,0.08666271487654907
swat,35,0.6162954610190512,0.8101583498734539,0.7011252360199234,0.9228649430931821,0.7299007111564874,0.24195627302741418,0.7583969565239572,0.7262342402850861,0.5143713908711595,0.1545547517105926,0.015321241632193578,0.0946133448672432,0.008830731508700467,0.058571473476157994,0.05040832792116421,0.005438881350129574,0.005615932114682025,0.09255796938920513
swat,40,0.6104862140592839,0.810738708578429,0.6946272059957366,0.9229049030359562,0.7304875700058059,0.2506343167844667,0.7597145559459417,0.7285136403975434,0.5114836013890167,0.164202571865459,0.01557333655778813,0.09899772613148136,0.009627382618707844,0.08344665297294106,0.13386393637103536,0.0061940739215747215,0.0060076234084497715,0.0988500833681764
swat,45,0.6263117120510802,0.8140741756410153,0.7041311553944128,0.9215541287968767,0.7484878959898897,0.2673027880421061,0.7580958345778788,0.7338336554270184,0.5255717785414699,0.14254630317818265,0.012000352654508743,0.08991882720037762,0.010733491092985182,0.039280015953572195,0.07195572724957847,0.005580243194791797,0.001134651005442052,0.08081945430544207
swat,50,0.6289740459023258,0.8187843917020418,0.7055157350901939,0.9274956292438203,0.7583195829564433,0.2411909908977758,0.7616284965741451,0.7406844909333603,0.528819262411125,0.13907909298526272,0.00434487466931868,0.08866962979350683,0.006874938717513728,0.048917519184482484,0.11195435561511323,0.00829613579475068,0.010345602297492212,0.07602014556310047
swat,55,0.6275415154969948,0.8181726213337657,0.7063101314086914,0.9209861545785551,0.745906950954307,0.2071721596132603,0.7618376007542793,0.7436099943580792,0.5289762950473205,0.1399022696155916,0.005047409100160338,0.08652991483491232,0.013912110733303003,0.04183092671723918,0.10123229563403319,0.00794458497683008,0.014249193203161089,0.07512779118544496
swat,60,0.6241901033037023,0.8179663766992559,0.7051890858964167,0.921391454554808,0.7532860370971901,0.2562893504243937,0.7620779369687031,0.7422798827018843,0.5266414158742159,0.1439041120198613,0.00463389786412344,0.0892136023262044,0.0135298721005783,0.05400927541570684,0.06727467588838733,0.003565059006284443,0.012796766666072639,0.07865042966769331
swat,65,0.6112197163027404,0.8154817256959388,0.6971683495599154,0.9216108089204111,0.748866441313959,0.2700260247066568,0.7609259940544537,0.73931772469273,0.5164187448430229,0.16268814169428877,0.00806145440774299,0.10041710752193729,0.017404486296399835,0.06454379845089626,0.05645356210475217,0.0046474436969869744,0.008189509318622024,0.09299204430639532
swat,70,0.6107580115151754,0.8154082179341444,0.6955546745099891,0.9244673825316629,0.7417099634353143,0.2269879055189179,0.7609906464259273,0.7383046624720013,0.515841657264164,0.16173267013098816,0.006401275987672562,0.09799338887078177,0.01604049939257866,0.07727123617013762,0.11806790619166783,0.003571835915849558,0.008623249575706713,0.09257898831561973
swat,75,0.6174825944111871,0.8169600525238078,0.7017226082844951,0.9241608239153867,0.7422679890428869,0.2230858515736709,0.7587607825453908,0.7394083586703634,0.5203184124150108,0.1522454252022976,0.004442322469650289,0.09350509400219631,0.01131286391879064,0.07120368714397436,0.10255235905280141,0.0015331713104904528,0.01132845772499831,0.08624626266185036
swat,80,0.6009455580239075,0.8126946432321225,0.6902496160940439,0.9246716917908729,0.7381596822235609,0.24527413251244154,0.759519699456582,0.734509436586607,0.506833669607758,0.17654351531367307,0.009337641233055265,0.10554446356031642,0.015976076402437173,0.08255903814071344,0.04698562524900944,0.0017882821609829169,0.0046517014302728385,0.10517402359597745
