entity,epoch,selection_score,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
machine-1-1,80.0,4.17550432941196,0.5423339828669385,0.8896439844998911,0.5172272655528465,0.849309197155037,0.6035240414228853,0.16269708179122755,0.7026687498966557,0.9292138852630684,0.5944164613325602,0.06994876063429947,0.03201086503357656,0.07497645305598358,0.07717787192510753,0.06926401896569376,0.024364950012869743,1.5280989256259928e-06,0.020372237335454343,0.06230462193351874
machine-1-2,40.0,3.6769683460963654,0.2882203158563466,0.8827782778594756,0.3888930490923984,0.9091317748162548,0.6954262351489116,0.2682693797111546,0.8830055744247989,0.9264760067429827,0.3075951221203627,0.020891514682793957,0.008850810660359835,0.013365594349011122,0.008731063281002241,0.01870248054948239,0.007803915405535462,0.016753202850666206,0.006692196475579557,0.022708393681440477
machine-1-3,10.0,2.9156249341641383,0.18976437484815156,0.7646704471772278,0.283079092117963,0.4548205987070709,0.21784066066121546,0.1700896107610812,0.6701517893051336,0.8325442829545684,0.175414947761094,0.02580732822413273,0.0313598592063105,0.044412088066868284,0.25964198275265005,0.07920586164365019,0.04712061167348387,8.93122990812682e-06,0.025493183298233753,0.024559017704148672
machine-1-4,20.0,2.997697619007888,0.1769240663323783,0.7800053311863522,0.2909346466776179,0.3113444471786243,0.3068181818181815,0.30047259165541657,0.7122233960924429,0.8571008747247137,0.18050930399438314,0.016629288936240456,0.03626009202857027,0.021607493058717408,0.16109729042240462,0.04220779220779214,0.019878426033571376,0.08694954233740683,0.022839942047400537,0.014865964121202682
machine-1-5,35.0,4.306502234061495,0.5447018550146564,0.9309928168835021,0.5512003596962445,0.75,0.7272727272727267,0.5734672968244935,0.9323930062615096,0.9722544070727919,0.37495978913279077,0.004177740551974688,0.0023592842693654866,0.004893409507631782,0.0,0.0,0.007293846149551515,0.011989507864480374,0.001730398715823975,0.004569390005673136
machine-1-6,25.0,5.297541671666562,0.8754711785143238,0.9288113678054346,0.8511886747616246,0.9952414158641955,0.947239093866673,0.6459563781689538,0.9039776755785252,0.9001356180158705,0.8379571569907838,0.01965130333091836,0.013381399208715207,0.025001612352544347,0.00017191699655610062,0.005994451772275917,0.011178099853296078,0.010261396844662964,0.012953450659310913,0.019387393996052885
machine-1-7,5.0,4.550194912874429,0.631329420263063,0.795974645283313,0.7096044669587344,0.9983322034122085,0.9560351201505244,0.5706093249697993,0.9583377854138051,0.813575658988507,0.6413729359670064,0.004813964828571166,0.023593980672432714,0.007859295877146302,0.000339783091185156,0.012176623166392644,0.020739119872144773,0.013195221787792203,0.022058698597388342,0.004627366073230824
machine-1-8,80.0,2.6995756320415696,0.2447218293946097,0.5432298126579997,0.29039027873716344,0.8989130840936224,0.6036630074315072,0.4294621324362014,0.8913260839684037,0.5540017117891409,0.17590591549425194,0.00553316682449692,0.0021497003124912478,0.003724947573702254,0.03454955968522959,0.05451284553855582,0.03541760074907112,0.010693004088247634,0.0026415406290104257,0.008039204471606567
machine-2-1,20.0,3.341573387419942,0.2739082897626983,0.7537339352112836,0.34873844411559585,0.9633363655554089,0.7575288659913522,0.30997403538279766,0.8835187875123129,0.7962706380550847,0.28540329276296683,0.054169027125698786,0.018562487788042738,0.05250467331093078,0.00921033335685891,0.030145267944141203,0.029001440867779425,0.021327238994875375,0.01736930683017846,0.05860879947166543
machine-2-2,15.0,2.952400982527956,0.19686061509403752,0.6772145704653356,0.29276640211114946,0.9843489731634563,0.5400690409622765,0.47970726183588974,0.8973245732216981,0.6872282872024817,0.2010065344332535,0.02380433590708425,0.046374599841856406,0.02108630647669154,0.0012274375098080515,0.036768586809396986,0.01201601578391465,0.010052547297094497,0.04571251117980251,0.02467816997890568
machine-2-3,25.0,4.484856745337977,0.5785249185684587,0.9436929451554166,0.5299220111253563,0.9850900568566594,0.9242856542105623,0.4808704517730853,0.9545503236347573,0.9598813164825821,0.5182852303714056,0.018688595947337287,0.004114051033740008,0.01833320640412646,0.004501911722613971,0.019355998404579546,0.01256477677898114,0.014197171064465481,0.003378714197701984,0.022594919520696873
machine-2-4,80.0,3.5788410669451918,0.3923415932687783,0.771695852711251,0.37170051238794166,0.9879589803332481,0.9460298292157683,0.4835281120349413,0.889604666949134,0.7747606259816573,0.3787378156464296,0.03973290445598966,0.041727123070106835,0.011755903788823739,0.003663201019044964,0.009876978280109222,0.01600625961196435,0.021069696917141868,0.04197348047976451,0.04105983428222974
machine-2-5,75.0,3.8058300800516407,0.3679963664530553,0.849933757754203,0.4160119561112482,0.961334714655094,0.8019136035975706,0.5805800533752593,0.9557254639095772,0.864673684880183,0.35148885094337434,0.028441788479581925,0.02968027967964189,0.026409883047568486,0.004875222791150544,0.055539017517154315,0.0036953556724011057,0.0018136790766969592,0.028852481837655795,0.0311331905737908
machine-2-6,60.0,3.773551009804543,0.37679457723557097,0.82646930796505,0.4782200856371387,0.9364050613341387,0.8395582570145833,0.4335638074149011,0.8885459842455535,0.8717902423410454,0.3317308123801844,0.012558546281764678,0.03297248436996803,0.013635141066625051,0.011727719283466855,0.035003796749118514,0.022206245056021274,0.011786864834351811,0.023368165340034025,0.021382054480373353
machine-2-7,70.0,5.145049928453661,0.801533419103392,0.9421056150352601,0.8244392660103119,0.9406334688346883,0.8989946422647759,0.52522930964614,0.9399694702208885,0.9341009663595541,0.7029011917242541,0.006630830121385439,0.004731325540222536,0.004886870709528749,0.0016373080397470924,0.009731540944159022,0.004592721066193418,0.010342782635180646,0.004203959697771444,0.014561063978476518
machine-2-8,15.0,5.898532291596804,0.9691931627677726,0.9902667405332489,0.9794603211989665,1.0,0.9999999999999996,0.7135414902344447,0.9999852543242506,0.9991192933205335,0.960507519452032,0.0004716763691944129,0.0004549905283407144,0.0017867130111668256,0.0,0.0,0.001967058395411164,6.443576119194196e-07,2.4460864452033606e-05,0.00776020025784936
machine-2-9,40.0,5.25123955585515,0.8144795599008219,0.9540526003412715,0.7905444059554485,0.9580909877363513,0.7400208001070749,0.2192198031699858,0.8383379811375842,0.9823096316145731,0.8715153769054513,0.006916872645482577,0.002077179422741265,0.006816614159436049,0.00035510619473725887,0.0006794759958089528,0.00014273223690591206,0.00020841992869291817,0.001184763080323285,0.006261223946999141
machine-3-1,15.0,3.6884987782884258,0.4166400676858159,0.8261482774351393,0.46924318269402454,0.7171532908133215,0.7097934397431621,0.26470874394650223,0.7689274774001135,0.8823754851463343,0.32516428792699836,0.027536858158710383,0.05147715252452507,0.00595603163048681,0.1507900981101593,0.09111972620165366,0.004549214131623071,0.13006229672630293,0.045987205771144214,0.05030552547964584
machine-3-10,35.0,5.027084584233516,0.7764689306691775,0.8856384023434684,0.8300146853372575,0.938768581589414,0.8905149137244135,0.4117830621389108,0.9316787197299021,0.8842997217039515,0.7189841244497587,0.039204422232696906,0.006479885715067902,0.05440670915733003,0.003297773201738661,0.04398396132252102,0.033689653953020884,0.009305452630964668,0.005428001687200515,0.027563212368916543
machine-3-11,5.0,3.712198184831726,0.24506455658835619,0.9454933163996312,0.3246933452625633,0.9993702770780857,0.9868421052631575,0.3985870397108431,0.9915434792744818,0.9696880297329543,0.23571545757373896,0.030069202944701785,0.012046528164866078,0.04143339820777517,0.0012594458438286622,0.026315789473684167,0.0043643821167754305,0.005433560084842757,0.0070692680373157955,0.036884631507916425
machine-3-2,10.0,2.275012198836325,0.07452498926435405,0.6319698771478073,0.13783347669724727,0.9482360841479038,0.49072128851540564,0.25866953462849224,0.7564147998519754,0.6041233819997219,0.07014567387521913,0.017528604775853225,0.05565316204246278,0.03780612171211267,0.04537857733854447,0.2531202641894475,0.09233648511020837,0.03970079718228897,0.047559391337917374,0.01639775429360688
machine-3-3,5.0,3.114464423531134,0.19432740036926596,0.782823024738487,0.2892062599102754,0.9502752298708796,0.7423664267145449,0.46826187191114743,0.8772088328729956,0.7891122501828787,0.18178665545723127,0.020104649042357755,0.01829621791863743,0.01605913780527097,0.009801375999685736,0.07226442015755455,0.013232127684646034,0.005338493210685921,0.018554536182223105,0.015315534584533457
machine-3-4,25.0,5.164962404099761,0.8229066676491511,0.9422381935749047,0.817722661967712,0.9680842849212217,0.8764976510948249,0.35538674063061654,0.8761641951218626,0.9512049457128025,0.7547257400733277,0.0516067539658909,0.020873399880766256,0.04641104045313216,0.030712562588660373,0.09823994133327331,0.10486974167255422,0.09614252568668707,0.023112523838343,0.11630677805851652
machine-3-5,20.0,2.84092415777101,0.24946806619306233,0.7553154791897816,0.34695198967708857,0.7614930299931426,0.693672426828585,0.3320500886651043,0.7438048321972265,0.6198536987338894,0.12553009177996133,0.003097155473246689,0.012232798503546968,0.0033355768916102017,0.0013886067236054099,0.008363391027938323,0.013534936981185264,0.005971492327943931,0.02243950899041904,0.004684141347746675
machine-3-6,80.0,4.496193831609271,0.5249965858455077,0.9098775222623309,0.5131589106151114,0.9966611886412381,0.96999132333184,0.5271109119128835,0.9928038298941432,0.9488278611636475,0.6065291218285298,0.04336519882004012,0.02665613195699036,0.02788551082422441,0.00033963712820654564,0.0029837028505802963,0.004227870887583868,0.00043749797410818514,0.019701427390959085,0.05106631981382672
machine-3-7,15.0,3.0802497110876974,0.34553717024691794,0.6970425392484477,0.412840012058738,0.9277631857841764,0.6149767378215649,0.20660237568591766,0.6857080609602655,0.7174603522326128,0.22166157634071504,0.08554411875214588,0.017278183899316103,0.09547321462257491,0.004834283186359164,0.09003917199878173,0.05268244186749399,0.037244718707714335,0.01253731354942994,0.042354989168095346
machine-3-8,5.0,4.190301525247675,0.49498310385556976,0.916934670599482,0.4526907191140842,0.9511761337942088,0.838434163701067,0.3703209272819237,0.8921037676122435,0.935788925761958,0.4978003383043381,0.01340099528785478,0.0037786102352392373,0.021763518481253987,0.026287201747984074,0.07686832740213521,0.022700874834016914,0.04438472786762152,0.0025531184985005083,0.006576393472871913
machine-3-9,15.0,3.5832224688068144,0.38840418801171395,0.8385661622568721,0.4680729805982882,0.6619631552180699,0.6906946264744425,0.2825401024051996,0.6963463915958036,0.8995946409917914,0.2922381053523453,0.035669393467717754,0.023188062780613965,0.0015025126895104092,0.023258158988478318,0.04805591961555269,0.0,0.05915541965219093,0.019547191935057467,0.07419191072743218
MACRO_AVG,,,0.45708647327228363,0.8341899812043524,0.4991696236492907,0.8823298489838471,0.7503830308696283,0.400830697146547,0.8612268197360017,0.8520630866125671,0.4257139082276695,0.025928392795291532,0.020665023081732656,0.025181749224706586,0.03129483674745763,0.0460899768593369,0.022220603730650157,0.024065298652126876,0.018047820660156998,0.029669571403606043
