entity,epoch,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
machine-1-1,5,0.5944709035571949,0.9342185164908845,0.6024416968210295,0.6382380939100284,0.4649869795665254,0.11916287706804388,0.7026691534445042,0.9523417496891023,0.6206569155650727,0.023238130767891357,0.004254123976548469,0.012800336018527616,0.18527273396144905,0.13231638916847283,0.04311558729806455,4.3174945080215466e-07,0.00363621509011226,0.029454581394744966
machine-1-1,10,0.6014469537003287,0.9271376675850926,0.5923169829092108,0.7901286442541318,0.5674730646324005,0.15224270872143653,0.7026687470580997,0.9507883200088078,0.6390505773040736,0.017729486463154837,0.014439212686068131,0.02411017781573139,0.17468199975251059,0.12512115038395083,0.04060912005273165,1.0952144059527246e-06,0.007108393467028224,0.016196791857302117
machine-1-1,15,0.596601435752125,0.92552584445479,0.5876816977395897,0.7824711994578721,0.5431531448645858,0.14191118469042346,0.7026677626067319,0.9500356311027454,0.6363871996998267,0.012259972642393847,0.011520823412767375,0.021287805385899437,0.0,0.00019965818769787313,0.00023045874792405852,1.7184582134353286e-06,0.00663964119815933,0.0073707597804740866
machine-1-1,20,0.5946968113042713,0.9217198798874617,0.5835726410393766,0.7824711994578721,0.5431499976326732,0.14188561098538616,0.702668642575086,0.949032444195702,0.637781370539874,0.013181842056499105,0.014281509434679502,0.022241813087495683,0.0,0.0002199675070794472,0.0002541295087987145,1.0841301971708915e-06,0.00794949569574286,0.010004615543272349
machine-1-1,25,0.5894655137961815,0.9198397012845982,0.5758293550865008,0.7824711994578721,0.5430605243613408,0.14195081722634362,0.702668634719939,0.9479242565515207,0.6340440580791584,0.01572855584836426,0.013690541160388786,0.026007393132194585,0.0,0.00027694347049112537,0.0002620949222401213,1.0770574197738993e-06,0.00804721974968559,0.013083424677710247
machine-1-1,30,0.5759372845371057,0.9138882502130168,0.5618547941003005,0.7824711994578721,0.5430749495654019,0.14189183116991794,0.7026683673598944,0.944590266948302,0.6228074074663175,0.016586083589480577,0.013683380262602966,0.023506010323639887,0.0,0.00030033270218507614,0.0001981356107473095,1.577531207822453e-06,0.008370983248909702,0.014809365267446854
machine-1-1,35,0.5734255451001412,0.9127226991482095,0.5597016802649125,0.7824711994578721,0.5430903945016161,0.14189528095376908,0.7026686125739521,0.9440521368611675,0.6203842183745112,0.017544064593255963,0.013897749455128068,0.02551592449914985,0.0,0.00026577808060372887,0.00014604479784976722,1.1733876532320128e-06,0.00840917218658742,0.01775157752148335
machine-1-1,40,0.5730405931445832,0.9114775224111148,0.5580660690067595,0.7824711994578721,0.5430963410570389,0.14193876746186576,0.7026686125739521,0.9436783478585941,0.6215912402943785,0.01955128664551815,0.014305623733161563,0.026680501865554214,0.0,0.0002888345246543342,0.00018682833458892283,1.1733876532320128e-06,0.008809812683554786,0.018639155245770207
machine-1-1,45,0.5691370379233847,0.9095842750742276,0.5528856598689235,0.7824711994578721,0.5430864536206937,0.1419559118428593,0.70266880194917,0.942529620061751,0.617813159112494,0.021441905773313084,0.01613267916843871,0.031770145840386295,0.0,0.0002372503934149218,0.00022929679815160303,1.3553039487960247e-06,0.009901222167216605,0.019638208976277598
machine-1-1,50,0.5722581529548626,0.9103540451094393,0.55607483159578,0.7824711994578721,0.5431101018849468,0.14190638784105256,0.7026686125739521,0.9431154200074361,0.6207214973411171,0.02165510487856368,0.014189120541823476,0.02866066156214291,0.0,0.0002682984643085902,0.00018721350400055796,1.1733876532320128e-06,0.008950982214577533,0.02129809529285708
machine-1-1,55,0.5699488783438738,0.9095490416952954,0.5544721898842913,0.7824711994578721,0.5431308410738404,0.14193357592302702,0.7026686792953968,0.9424316407764448,0.6179319682469758,0.020521594886504468,0.014119517328700615,0.028785095766567185,0.0,0.00024841783603968916,0.00016541723498198797,1.2160755136811406e-06,0.008872500606904837,0.02093422139949387
machine-1-1,60,0.5726872320176519,0.9099777699754195,0.5564704178272625,0.7824711994578721,0.5431308410738404,0.14193357592302702,0.7026685244630644,0.9429130035164854,0.6202893216719326,0.02272238145341714,0.013877763099577455,0.02900101853724489,0.0,0.00024841783603968916,0.00016541723498198797,1.5739206452602942e-06,0.0090818680277708,0.02437023151512419
machine-1-1,65,0.5717671985416056,0.9087952601581001,0.554951061369471,0.7824711994578721,0.5431459061549909,0.14183157022602297,0.7026690091171444,0.9424679888385838,0.6210088272145297,0.025498467208326776,0.014433970616452641,0.03003268263027771,0.0,0.000264006925899729,0.00022605776290444399,1.252974364478051e-06,0.009214748060386545,0.026424135140862132
machine-1-1,70,0.5734290065013427,0.909194331772516,0.5550919645159047,0.7824711994578721,0.543158640841984,0.1418547981688184,0.7026689418278582,0.9428005532033193,0.6227366745202503,0.025595655060860926,0.0162534092953389,0.033930689072494996,0.0,0.00028723551376750407,0.00021739939242835222,1.234971917643036e-06,0.010343849506806436,0.02540080783004994
