entity,epoch,selection_score,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
machine-1-1,10.0,4.413409248565613,0.6014469537003287,0.9271376675850926,0.5923169829092108,0.7901286442541318,0.5674730646324005,0.15224270872143653,0.7026687470580997,0.9507883200088078,0.6390505773040736,0.017729486463154837,0.014439212686068131,0.02411017781573139,0.17468199975251059,0.12512115038395083,0.04060912005273165,1.0952144059527246e-06,0.007108393467028224,0.016196791857302117
machine-1-2,5.0,3.611012943578182,0.2730170820408637,0.8791854127546158,0.3653907784343647,0.910614433001127,0.7189353156411653,0.2548977289451049,0.8897758619926094,0.9224731568002635,0.2811706515554649,0.02015238269733241,0.007633488887647164,0.01629208186132189,0.007423527584245002,0.05044895782695416,0.00978981897771706,0.02016426939008844,0.006077571396645663,0.01594032291380432
machine-1-3,20.0,3.0892335659956225,0.21716311351823397,0.8101694354605323,0.32305577230190663,0.212253829321663,0.1538461538461537,0.08685732795907752,0.6701669575103802,0.8665648759162654,0.20211341128830362,0.00308877585628751,0.0032771885526929195,0.0018738289178991377,0.0,0.0,0.003435566857312935,1.745005372880693e-05,0.0033337789743922417,0.003739656462601461
machine-1-4,20.0,3.0114323543663866,0.18102962242784565,0.8119178761569037,0.293212618273915,0.17775121786635076,0.2857142857142854,0.2516859928759487,0.6687514716361531,0.8753171897316098,0.18120357613995944,0.002511567205821095,0.003864789558440625,0.006061557753191542,0.000735301039925157,0.0,0.048944285893660205,5.620881146856362e-06,0.002414217097028917,0.003124574254244989
machine-1-5,35.0,4.503737031051485,0.5801889062900949,0.9180094927321271,0.5970146813720922,0.8593745919832876,0.7542556921559627,0.5418794011554837,0.9564745792657855,0.9652285597358539,0.48682081165553137,0.0192727570478591,0.003015928545397644,0.03723826409439141,0.02610693556366067,0.045832307908366704,0.0027472363290898085,0.005903281184123139,0.0014394065887412002,0.037513879654285646
machine-1-6,20.0,5.238861894656705,0.8594737487542734,0.9206128196519356,0.8282303792250598,0.9955485239699087,0.9423081549959926,0.646185402360407,0.9053967963971917,0.8954531078374217,0.8296950427908231,0.014792000049085511,0.005502133956113257,0.021437550526869728,0.00048161442288429724,0.013648731280676956,0.016625392973432886,0.014673301007847844,0.0059182151037087,0.01607533225789108
machine-1-7,25.0,4.596273236660044,0.6409654109945284,0.8313845624837669,0.6940421300591967,0.9973939179510418,0.9084061258095618,0.5149448647576943,0.9302861088853858,0.8493693263425293,0.6502256978946364,0.006134376915881228,0.0034676792206304098,0.005572557110594193,0.00043167892967881604,0.010494489333004486,0.011077802723689077,0.044213169783203714,0.0033644656838475277,0.006035469212188269
machine-1-8,60.0,2.8575033203440565,0.23944159960356678,0.6514378275432406,0.2789101665308378,0.8977008495049608,0.527519982911566,0.3328621525256711,0.8734302851342971,0.6608480779580307,0.15343536357408338,0.006707590642070963,0.010095822384215202,0.006677069702575136,0.03704427651302738,0.07374074943999963,0.040465756450767026,0.015267814712555654,0.009940480604103703,0.015320076724492196
machine-2-1,5.0,2.95339999221238,0.19601208650184812,0.6930254806387385,0.25977021622963326,0.97669442980003,0.7394872483778225,0.31117334014508546,0.8672000422407198,0.7337513990323341,0.20364076756910604,0.014213009665278132,0.015508255276500856,0.01407849160328884,0.009239665407827448,0.0545495214902697,0.02109256520889916,0.03065232566114773,0.015572254684392264,0.015006383895026848
machine-2-2,15.0,2.8415201840811517,0.18022877157962938,0.6518394095728814,0.28028479651480676,0.9831085422927395,0.5879409709808523,0.473469680529281,0.8832174311131872,0.6619984102264169,0.18395136507423,0.0075931172145300135,0.0154769652793845,0.008379589579090749,0.0006140329370895704,0.015951889257997193,0.007032629472775478,0.0069250415468429805,0.01505207290096497,0.007787490299059633
