entity,epoch,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
machine-1-1,5,0.4954438218820351,0.8942075414184544,0.4784726523987999,0.9033197882233077,0.6595787270992324,0.18364391364058372,0.7079878852727625,0.9201115032016023,0.5277090315834092,0.02217118704718489,0.011229000115640098,0.023634387281110794,0.08943399991733886,0.09087318506521418,0.0334892771463338,0.01063655088829104,0.008209203534798488,0.03649780253608023
machine-1-1,10,0.5042554710839751,0.8840271380218451,0.48258185469149983,0.9033197882233077,0.6591868775458093,0.1835657362114574,0.7100893960936663,0.9238772109432333,0.5566302604288642,0.04417801443454816,0.036797995927552785,0.07857922550881362,0.08943399991733886,0.09118191653150756,0.03365599837678882,0.014840562602988713,0.02117880228096954,0.03487320506716427
machine-1-1,15,0.5394586855299294,0.8982841331859381,0.5183861603725772,0.8827281960036195,0.633610344937271,0.17328177652751353,0.7026672889318655,0.9338435009458838,0.5881456848598371,0.049286597908391225,0.028160165272320802,0.0708822775717112,0.0668379976971649,0.060038088711030294,0.020783860042738512,8.315386931098473e-07,0.018793770873870397,0.04322818271888431
machine-1-1,20,0.5475055906931894,0.9017252082587371,0.5263489547239547,0.9033197882233077,0.6589911733678808,0.18337764920319927,0.7026691557149466,0.937313741524916,0.598204535653295,0.04607167725375732,0.020056375301227797,0.0538812915510012,0.08943399991733886,0.09066165133582425,0.033394370287273295,1.3373052990701593e-06,0.014549812459377889,0.04485773332407273
machine-1-1,25,0.5509071642510202,0.9024062909126979,0.5298906187910839,0.8827281960036195,0.6336231359212718,0.1733408237364909,0.7026694285637082,0.9368440841840261,0.5998378284597892,0.04926158733013565,0.023292788064736655,0.059110885140293126,0.0668379976971649,0.05992911058818499,0.02082737302947218,7.916323754458566e-07,0.016108367669128258,0.047247784720014875
machine-1-1,30,0.5569835636566182,0.9083656498284345,0.5385045804462626,0.9367387870718902,0.6893283921822262,0.19419936809459235,0.7056438769648519,0.9396327351955679,0.6027411131538252,0.042699176770792914,0.017162167708679465,0.0446775329849135,0.04118318443937654,0.05084658077778962,0.01987040914968826,0.005950870785358447,0.012566556741202333,0.04201515209175189
machine-1-2,5,0.35941420668286683,0.8758942575544668,0.4703857624461044,0.9818558478692722,0.7735845272682231,0.30899077722829754,0.9218502722981088,0.9274561203189899,0.3754057418719603,0.04161725026699364,0.010543659381625905,0.026688548854304127,0.004058826747580229,0.037258304065196216,0.016199506861148797,0.011241602506866016,0.005507037745498197,0.03414610660170169
machine-1-2,10,0.273900452322008,0.8759840450508813,0.3831400966975908,0.9218181761721069,0.6395809659072746,0.2569891343790223,0.9019549170211125,0.9279153003694778,0.29552715487577397,0.021086194008684958,0.011405140820998739,0.029672179675387628,0.01811352015835051,0.061454896674257145,0.023214221977848837,0.0259240992995121,0.005914528348012597,0.022284825113256544
machine-1-2,15,0.2678880497931621,0.8828396044136304,0.369329168192367,0.9152230363134854,0.6411067226409244,0.25461137162742853,0.8958748677041284,0.929546106660185,0.28946028677602936,0.008043412253376025,0.009356134003928073,0.013326928999588917,0.010190907811068002,0.030996968423534138,0.019014525867354862,0.011372922558110342,0.005960509808706772,0.011836417782015714
machine-1-2,20,0.2705766934501508,0.8855751733207605,0.3781429608055802,0.9125955020517355,0.6340229512709841,0.25376499294617977,0.8924634802113641,0.9298244215709168,0.29158398174795247,0.01134949044372198,0.009301577556569117,0.008333762846455919,0.0177069932025559,0.03418614137069723,0.019139366035641963,0.012130991600507037,0.006149827785174719,0.012641461308467144
