entity,epoch,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
swat,5,0.7160532966862273,0.8296111337450024,0.7631961266971654,0.9214720334805908,0.7447734032571122,0.2167072650019093,0.7631971527512915,0.7589646715004551,0.6042106460704518,0.009656643644087618,0.009848040645336372,0.0008569702873423343,0.007330439332382999,0.028511324989571554,0.01516385960133066,0.006635670142412125,0.0239686085862398,0.02460230517201424
swat,10,0.7251149112211552,0.8340248477770609,0.7605573298421946,0.9229925138855116,0.7577119924752943,0.2629611683290055,0.7641884107737122,0.7597069289342098,0.6088815132411904,0.004830407365826448,0.020652922122453697,0.008246360126482898,0.0045734767218423966,0.040908027007470114,0.13666454576968193,0.0061970899134811555,0.03930237685577182,0.042564172525276646
swat,15,0.7215253630408207,0.8345304975413549,0.7557948469602445,0.9216599822516364,0.7657305833455772,0.2643693056142481,0.767094975704931,0.7601255783074037,0.6062270371628131,0.000440346048249878,0.02107694250595543,0.013669009951171103,0.009102109975572727,0.032267657702459845,0.060393527040980596,0.01014564620840761,0.04252096836469627,0.03917567290748513
swat,20,0.7163067755411379,0.8336194644400591,0.7512511505892987,0.9208935902021759,0.7545456331269557,0.2824210485920545,0.7611466296499856,0.7597102404351894,0.6019445248019272,0.007472413319783467,0.01984242836944445,0.019366934320545523,0.011079716579124432,0.035099090419917205,0.07511731469462844,0.0016150811154776944,0.040396537761808037,0.032025262221371094
swat,25,0.7040374747956619,0.8326545659705309,0.7476813339488975,0.9194793490919062,0.7464436020956502,0.22985251808235996,0.7576144440673733,0.7573274449724698,0.5928704239034691,0.026980560792532634,0.017685991546299854,0.02374660582490285,0.01484859522664256,0.03786495642312005,0.10311384889032936,0.0006608005965899108,0.03823881484550693,0.019375533396357704
swat,30,0.7035993981365791,0.8320586103851457,0.7565106052156101,0.9197732614935922,0.7267693446161925,0.22361646105707567,0.7585709393651192,0.7561986592079195,0.5907647594254555,0.027913144029961957,0.01616788037388612,0.011192979570365353,0.008405872344404089,0.05314804028966912,0.1046553561908214,0.00610908731035194,0.03823897613474107,0.01879165195930897
swat,35,0.710049901524924,0.8333217075256132,0.7550274766770896,0.9161286692124665,0.7380138341277833,0.24578114239811077,0.7578882881837643,0.7580812687860108,0.5956878645726507,0.022430603603521584,0.01742595488910663,0.01375761691326558,0.016741799802424906,0.05526613040839726,0.1127092904433994,0.006617447339565795,0.039764879865641437,0.021920166887696154
swat,40,0.7099485498941293,0.8332745283790457,0.7574259111477474,0.918125158305878,0.7301508944544924,0.2824521405125985,0.756366565760258,0.7577514108899588,0.595477141037408,0.02285235299963207,0.017290285098334964,0.013518706405939681,0.014443865798178919,0.036346209923125296,0.12107093222034739,0.004302629367028284,0.039976316750595764,0.023806328430054546
swat,45,0.6637547551815934,0.8276408874908723,0.7352920681198027,0.92093559277224,0.7382698325719772,0.23199546397564574,0.7589517130322101,0.7513401955592627,0.5591227048042904,0.087815434300797,0.009090933051799316,0.04151320254278626,0.01186967767385123,0.053784560349175135,0.12530488496807873,0.008239515949376943,0.02687805027901825,0.030513475815673655
swat,50,0.7144473666919162,0.8328480611504501,0.7572008838624048,0.9245277988098202,0.7428559121505873,0.22276390834365312,0.7581698172739444,0.7580718292613149,0.5993945526952689,0.016687049432208573,0.01594642315644975,0.012047987267354753,0.005752275008108595,0.044588850162355406,0.08595223093449872,0.008863305591688669,0.03628210262372803,0.02456940116180001
swat,55,0.7220603638881551,0.834064343160408,0.7602954868304468,0.9248830157334539,0.7427185527665248,0.23127955661226018,0.761885725952185,0.7605306813521171,0.6045408161570254,0.005799853799035852,0.017751043965093024,0.01066801662286809,0.008300447056551821,0.046402202936955426,0.09716828322394352,0.010635120263870673,0.038110884215863734,0.03189675400391705
swat,60,0.6923579203250481,0.8301340926747116,0.7413939330864584,0.925220953065216,0.7315675354051296,0.23268558983316895,0.7621687531093184,0.7537189083754567,0.5801515051962777,0.04730017592434032,0.012066756909316119,0.03314538670980845,0.008678715745293606,0.04474310747324791,0.09016381258140331,0.009286879250359294,0.028934807261684455,0.0008436356748442219
