entity,epoch,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
PSM,5,0.5631844279485322,0.7425470449499001,0.529471813231757,0.9354719955814356,0.6818096942161701,0.42542525383978513,0.7761276824964207,0.6949710867993228,0.5213225326603597,0.025284407447505732,0.0061442614918002765,0.004973797623332577,0.01471261019684639,0.026706088881544198,0.013373585400645375,0.008251185965156721,0.012865962182641015,0.020805658281980943
PSM,10,0.5490930025512913,0.7590446154319039,0.5732577874194671,0.9192249392085609,0.6514132832925661,0.41347414003028043,0.7425823991908385,0.6981865833446625,0.5113971541800929,0.05462943246809771,0.020251645477974617,0.02072976287139317,0.0049140627198579045,0.03394100989405251,0.020307684474066005,0.029132582400459572,0.02174122937242702,0.04344873142403499
PSM,15,0.5510546076540106,0.7505442021727035,0.5653019759049023,0.9300567601701658,0.648715338352728,0.40844757780314633,0.7368072868712625,0.695009162126395,0.5118777619728136,0.0889606684993344,0.031231875542223765,0.026314485825356858,0.006991107907441192,0.05070604809299509,0.008852210929583949,0.01794215395680016,0.03382192553042084,0.06756227724963988
PSM,20,0.547384299584051,0.7417808763845148,0.5470509644062177,0.9434275376815249,0.6488159613823816,0.4042337201246329,0.7267467789921166,0.6863504557569201,0.5070941280780472,0.09645611387686781,0.0428218609006595,0.03165295674942633,0.007613671866495552,0.0632612142406021,0.0021525753544029335,0.015860331725040734,0.04442448807752157,0.07733202753011902
PSM,25,0.5719407320857526,0.7555569128933621,0.5524147352689983,0.9442021905622887,0.6597744422331889,0.40818009875272593,0.7442373397870055,0.7000303727453906,0.5248394016630329,0.03238778797633849,0.02165385178070684,0.020130865142545838,0.01649198972943996,0.022849690951277243,0.009633603873087735,0.010946205085795012,0.01780086191856338,0.02696217201388511
PSM,30,0.5777209740537741,0.7570014053391356,0.5478116285802834,0.9476112490605098,0.6740597584578077,0.4041301795205482,0.7436649573184986,0.7010346471675938,0.5274410622402119,0.014588191301539533,0.012606404115965086,0.015665380995096796,0.011009441789536991,0.016795672633718076,0.007281492313371165,0.018819277272539982,0.009326129775412452,0.011517779348332308
PSM,35,0.5882085894793412,0.7597070280203722,0.5495105443458109,0.9543026155611567,0.6820490629840817,0.405785009112586,0.7480896019336649,0.7069085699737858,0.5362178913648561,0.02596130078131938,0.008092263479251922,0.015999388975465007,0.010131614144073632,0.022076523951083078,0.015839094171104975,0.012216284551830473,0.009312356739876302,0.018977339840882443
PSM,40,0.5910891019081019,0.7574030310466343,0.5473616136624521,0.9589723369615001,0.6960719120161041,0.4106001599563832,0.7497241716882033,0.7081614538919536,0.5395347473716865,0.019046527921867538,0.007913922011235924,0.01728808497657698,0.006137893322691147,0.02641722740350468,0.02075825117817935,0.008865206843644984,0.0028393924177248773,0.013409533170469239
PSM,45,0.5907796515391845,0.7559685049141449,0.5448512104661878,0.9555995971799166,0.6987698511674438,0.41059028697671507,0.7582950050488535,0.7090655010165746,0.5410826794771402,0.02182840530796832,0.008715963183464095,0.016546988721998918,0.006868732003753601,0.03294311485132047,0.016355949570487915,0.008920301450673037,0.003384302106987978,0.01690520461651772
PSM,50,0.5793346619679922,0.7521502584121862,0.5427536062676699,0.9582158575863082,0.7000733289811061,0.4137895630841377,0.7506120545557735,0.7071010958814656,0.533545833954825,0.02178779970184601,0.011757561142132647,0.018857434095775512,0.0033530081174217973,0.033757098106293675,0.011592216935859902,0.009386183147739908,0.003678794148704082,0.016136767587366412
