entity,epoch,selection_score,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
machine-1-1,75.0,4.291171774044182,0.5673159168681947,0.9078475519287406,0.5589245422712754,0.916147194852202,0.6638910624978731,0.18372415230859448,0.7026692822497884,0.9410797382611763,0.6133347424650066,0.05414756669783884,0.02947996241806386,0.06484869417974763,0.0,5.1032558772472975e-05,0.00012958049179855432,7.625973069371639e-07,0.017937309608507368,0.04602222491968176
machine-1-2,5.0,3.6047806230057358,0.26293906914830745,0.8687998893610765,0.3770706997641463,0.9085545722713864,0.6504689709660474,0.25594533897245475,0.8838118099603576,0.9237172730666187,0.2884418817052293,0.004616074492612654,0.0037201285692251593,0.0014833638185610906,0.0,0.009602245975933307,0.007597677580855173,0.001526098448211784,0.001754415298206927,0.0053539693330827325
machine-1-3,10.0,3.1293983042502154,0.2080864514738811,0.7951944420026229,0.29978130879710024,0.6293252173184323,0.27937290033594586,0.3308316111049218,0.78170731489781,0.8557730531336154,0.188855733945186,0.006785697581825308,0.01606625321430571,0.010482154043939748,0.015174115496114094,0.0017068361821506945,0.013850578336300259,0.0012096428659257074,0.013941166111882407,0.00835393997955903
machine-1-4,45.0,3.0000500734560074,0.18116915715868717,0.7971687063592229,0.30137812387471097,0.2354076670598957,0.2857142857142854,0.2893481079198114,0.668746685431838,0.8689829654519912,0.18260443517955718,0.005249983630308664,0.027074036574152367,0.007712558901152828,0.11619926539319131,0.0,0.04581059155668953,2.2914875893872827e-06,0.016096437215839317,0.006095618166453956
machine-1-5,15.0,4.2885677190849645,0.5365190050177058,0.9286542780861973,0.5502128037496434,0.75,0.7272727272727267,0.519047165647738,0.9036406679069506,0.9704903269117404,0.3990506374127265,0.004593295346236627,0.005708871995345877,0.002891981595410639,0.0,0.0,0.002318944693649124,0.0005859858409060868,0.003149683776648684,0.0069212827156696355
machine-1-6,5.0,5.30346264422409,0.864624140471651,0.9194708740429697,0.8507551686538362,0.9967681210764066,0.9706520602227868,0.6841180052305307,0.9298748381779972,0.8960636106358248,0.8426740122418106,0.002241507109838481,0.0020694838431808177,0.0031015970606842976,0.00010959571423452833,0.0037864786616167148,0.003284442433123881,0.0012011531973900491,0.0020150554544410386,0.002294175832566554
machine-1-7,80.0,4.653703850306364,0.6495050105288982,0.8332865457397369,0.7136167571270751,0.9984887256285908,0.9481276804889323,0.5685067594397883,0.9457487943609406,0.8507355325551189,0.6608112099945943,0.01971166974342381,0.02642383840593878,0.0010964655130244457,0.00010405801944956179,0.007735876820892237,0.014612308935107645,0.008907504756651351,0.02599436373303319,0.021249654948769486
machine-1-8,75.0,2.7336020829797643,0.2465214923204794,0.5447680943693818,0.29433841832328017,0.9494069633964735,0.6349878859857168,0.4873693187096345,0.9104237287196763,0.5569489729196138,0.1806013763273326,0.0063573402377083916,0.016599751238452636,0.0033496647149783816,0.008697036782275921,0.03341089261876873,0.06848901491229485,0.004438764284117247,0.01636902302556194,0.004419543326047183
machine-2-1,25.0,3.2042637265029668,0.23804668747230295,0.7291772389157466,0.30599332717685157,0.9742841595141786,0.7421884156892424,0.33132032923277543,0.9107634157988921,0.769894520846568,0.2503885362926057,0.040592984641938244,0.019904389551350644,0.05683101969422844,0.004840317215906562,0.022814721712268997,0.011943816896867677,0.005230445710501964,0.01931955890415676,0.04135797415979298
machine-2-2,35.0,2.817327643732139,0.17183536172075434,0.6396245905913407,0.2742358439585892,0.9827668736943775,0.6000997702820045,0.49661023430634454,0.9068505326390334,0.6500941255935087,0.1746871892289128,0.003002075008365226,0.007087730511529986,0.003913672468974713,0.00016338837477690766,0.008868469511556672,0.0035892952480276116,0.00025258810020283967,0.006927773000817723,0.0030918190095938504
